"Age","Year","log_mx"
80,1952,-1.92466013673253
81,1952,-2.18069448135215
82,1952,-1.8370330144258
83,1952,-1.86300542715099
84,1952,-1.62273323449313
85,1952,-1.61887813753234
86,1952,-1.52042206340307
87,1952,-1.50908580091223
88,1952,-1.38074142586281
89,1952,-1.44137620998111
90,1952,-1.21039379929991
91,1952,-1.61782299145349
92,1952,-1.25936479156694
93,1952,-1.29383225299724
94,1952,-1.19991037649666
95,1952,-1.05563644552702
96,1952,-1.00362217447364
97,1952,-0.953168042626985
98,1952,-0.904260774424954
99,1952,-0.85690567529691
100,1952,-0.8110792542338
0,1953,-2.55501291199184
1,1953,-4.91370882157557
2,1953,-5.49195283584995
3,1953,-5.95917560181631
4,1953,-6.24329460315515
5,1953,-6.5094332494973
6,1953,-6.64096876404931
7,1953,-6.7801803952396
8,1953,-6.9039191987789
9,1953,-7.02952029368725
10,1953,-7.0668425787289
11,1953,-7.14523594866461
12,1953,-7.07065761410331
13,1953,-7.11501462284192
14,1953,-6.97581017511999
15,1953,-6.9983880887811
16,1953,-6.94461411856792
17,1953,-6.83687437333542
18,1953,-6.69027101454909
19,1953,-6.6640265071727
20,1953,-6.56747147924376
21,1953,-6.60381742208096
22,1953,-6.49734379746146
23,1953,-6.47827795549053
24,1953,-6.39554060585658
25,1953,-6.36599717420469
26,1953,-6.32929609897975
27,1953,-6.28783063250696
28,1953,-6.25304604969885
29,1953,-6.34336857560659
30,1953,-6.21199449146903
31,1953,-6.34414965686668
32,1953,-6.14099200458961
33,1953,-6.14064664418126
34,1953,-6.10979385023913
35,1953,-6.04116660908091
36,1953,-5.97892696922837
37,1953,-5.94766481397339
38,1953,-5.80597071226042
39,1953,-5.85530756548262
40,1953,-5.62494885144736
41,1953,-5.81135027541518
42,1953,-5.49209520770023
43,1953,-5.58069528102229
44,1953,-5.47526229935982
45,1953,-5.35069189853671
46,1953,-5.32028883131325
47,1953,-5.26203741026928
48,1953,-5.08546989992934
49,1953,-5.12871641581664
50,1953,-4.87746498886917
51,1953,-5.01516856644418
52,1953,-4.72716687969982
53,1953,-4.72709964022136
54,1953,-4.6054726358539
55,1953,-4.56285164574723
56,1953,-4.43355750112558
57,1953,-4.4058491880013
58,1953,-4.22045812194176
59,1953,-4.22499355602578
60,1953,-3.97421537782971
61,1953,-4.12832906357483
62,1953,-3.83465615698027
63,1953,-3.76892825979091
64,1953,-3.67076955845776
65,1953,-3.52259356431868
66,1953,-3.51387570772204
67,1953,-3.38132880099801
68,1953,-3.26492610185799
69,1953,-3.29945032588893
70,1953,-2.96794758178774
71,1953,-3.1155880627035
72,1953,-2.77007810447059
73,1953,-2.7486955594255
74,1953,-2.61622052988043
75,1953,-2.52008452867736
76,1953,-2.44324371845067
77,1953,-2.37525560848312
78,1953,-2.15183672544532
79,1953,-2.27173700500086
80,1953,-1.98792026149881
81,1953,-2.21164273818461
82,1953,-1.88776793911915
83,1953,-1.90239268869093
84,1953,-1.67309479636906
85,1953,-1.66115275339808
86,1953,-1.56189329343678
87,1953,-1.5423091982842
88,1953,-1.416069719643
89,1953,-1.46290104525347
90,1953,-1.24357007802431
91,1953,-1.60798123762197
92,1953,-1.27229117551984
93,1953,-1.2970671462869
94,1953,-1.20331712422031
95,1953,-1.06416851929407
96,1953,-1.00952327055388
97,1953,-0.956574697151346
98,1953,-0.905324998021622
99,1953,-0.855791191980853
100,1953,-0.807962858623537
0,1954,-2.76466270661011
1,1954,-5.14558807830368
2,1954,-5.7106674068126
3,1954,-6.15737519404212
4,1954,-6.4285403660713
5,1954,-6.68080951281418
6,1954,-6.80544272504122
7,1954,-6.93798365137232
8,1954,-7.05764657715067
9,1954,-7.1745982338713
10,1954,-7.20789809086792
11,1954,-7.28079339642063
12,1954,-7.20609110123636
13,1954,-7.23609528320942
14,1954,-7.09271705157993
15,1954,-7.095217447353
16,1954,-7.0230627262327
17,1954,-6.90962729155878
18,1954,-6.76277586303812
19,1954,-6.73021031407483
20,1954,-6.63958825361418
21,1954,-6.66941117524218
22,1954,-6.57164609299874
23,1954,-6.55044150800323
24,1954,-6.47247666446333
25,1954,-6.44232136853779
26,1954,-6.40655686548025
27,1954,-6.36482322314164
28,1954,-6.3300939676122
29,1954,-6.40576326300209
30,1954,-6.28239632283819
31,1954,-6.39886468171513
