"epoch","loss_rnn","loss_lstm","loss_cnn","loss_trans"
1,0.331355363130569,0.377205014228821,0.203739240765572,0.70633727312088
2,0.119405962526798,0.197634547948837,0.0260679069906473,0.186832740902901
3,0.0704857334494591,0.142152890563011,0.0192139651626348,0.115427188575268
4,0.0438736937940121,0.0841348618268967,0.0166400317102671,0.0839572250843048
5,0.0331105217337608,0.071264736354351,0.0143380938097835,0.0677647590637207
6,0.0252778232097626,0.0540518090128899,0.0141573715955019,0.0513371154665947
7,0.0230620726943016,0.0542890802025795,0.0124878454953432,0.0452495589852333
8,0.0204978510737419,0.0449571311473846,0.0120011391118169,0.0362506695091724
9,0.0191860441118479,0.0404090210795403,0.0120449373498559,0.0353953801095486
10,0.0188332069665194,0.0461585894227028,0.0116943810135126,0.0303815361112356
11,0.0170614328235388,0.0416464731097221,0.0117828343063593,0.0273297112435102
12,0.0167385302484035,0.0539812706410885,0.0114004323258996,0.0248930957168341
13,0.0159186255186796,0.0356279835104942,0.0114019047468901,0.0251087415963411
14,0.0157306175678968,0.0441061891615391,0.010888091288507,0.0238767322152853
15,0.0148342289030552,0.0385529063642025,0.0111382259055972,0.0218419842422009
16,0.0159221012145281,0.0474501326680183,0.0102894958108664,0.0212581418454647
17,0.0155449938029051,0.0560592301189899,0.010090078227222,0.0207702238112688
18,0.0152046158909798,0.0417615734040737,0.0107979848980904,0.0181788392364979
19,0.0138220814988017,0.0471229329705238,0.0106061492115259,0.0180420260876417
20,0.0156747549772263,0.0428898967802525,0.01098389364779,0.0171646103262901
21,0.0134143382310867,0.0431800931692123,0.0102590266615152,0.0176763720810413
22,0.0135718239471316,0.0369967818260193,0.0102787492796779,0.0174204912036657
23,0.0142389554530382,0.0428004302084446,0.0101731885224581,0.0169461704790592
24,0.0138449696823955,0.0382241867482662,0.0100777447223663,0.0162030160427094
25,0.012714677490294,0.0371072813868523,0.010071718133986,0.0150113170966506
26,0.0128044644370675,0.0414885133504868,0.0101525038480759,0.0154457949101925
27,0.0132819944992661,0.0372693128883839,0.0100173447281122,0.0153658166527748
28,0.0125930430367589,0.0415694527328014,0.00994307547807693,0.0141387563198805
29,0.0134190879762173,0.0437229797244072,0.00993276014924049,0.0141185680404305
30,0.0132063925266266,0.0439189784228802,0.00948124099522829,0.0142689812928438
31,0.0121769560500979,0.04297099635005,0.0095196571201086,0.0138211818411946
32,0.0120003968477249,0.0429499335587025,0.0094966683536768,0.014953188598156
33,0.0131413042545319,0.0383177027106285,0.00967529136687517,0.013729952275753
34,0.0137227820232511,0.0372343510389328,0.0101423608139157,0.0137674119323492
35,0.0117221111431718,0.0435181558132172,0.0105605507269502,0.0132128298282623
36,0.0126357804983854,0.0365866348147392,0.00956856459379196,0.0133219845592976
37,0.0119179403409362,0.0337170325219631,0.00993518251925707,0.0139317279681563
38,0.0121542504057288,0.0340741537511349,0.00965464115142822,0.0138117484748363
39,0.0112540470436215,0.039693932980299,0.00925243459641933,0.0141850207000971
40,0.0112854409962893,0.0390481203794479,0.00943166017532349,0.0133878020569682
41,0.0106902029365301,0.038773849606514,0.00950830522924662,0.0129814734682441
42,0.0114781446754932,0.0440021641552448,0.0100019462406635,0.0128914956003428
43,0.0124283712357283,0.0387279614806175,0.0103503875434399,0.0133112510666251
44,0.0107451640069485,0.0344093553721905,0.00997645687311888,0.0133836744353175
