"epoch","loss_rnn","loss_lstm","loss_cnn","loss_trans"
1,0.340143144130707,0.289322823286057,0.321587890386581,0.885103762149811
2,0.149182915687561,0.149019286036491,0.030100405216217,0.204872712492943
3,0.0831576958298683,0.104730442166328,0.0181732717901468,0.130542069673538
4,0.047283198684454,0.0630290880799294,0.0154102137312293,0.0945227146148682
5,0.0327140390872955,0.0572491772472858,0.0131693771108985,0.0743589103221893
6,0.0230723507702351,0.0451928749680519,0.0134426094591618,0.0567456521093845
7,0.0196991395205259,0.049255583435297,0.0112407533451915,0.0490572340786457
8,0.0170759372413158,0.0414090678095818,0.0108160320669413,0.0472197458148003
9,0.0149777866899967,0.03830711171031,0.0102513479068875,0.0364826209843159
10,0.0154310548678041,0.0415664613246918,0.00908708572387695,0.0334485284984112
11,0.014076909981668,0.0397646687924862,0.00935122929513454,0.0295089744031429
12,0.0142490332946181,0.0491434000432491,0.00977616664022207,0.0282864402979612
13,0.013343084603548,0.0326813086867332,0.00883903633803129,0.0249964669346809
14,0.0137552302330732,0.041712861508131,0.0106486463919282,0.0235057026147842
15,0.0118439448997378,0.0349632203578949,0.00884213950484991,0.0231333915144205
16,0.0126255648210645,0.0441772453486919,0.00868142489343882,0.0227609667927027
17,0.013008126989007,0.0509710162878036,0.00815436523407698,0.0201853271573782
18,0.0122953802347183,0.039098959416151,0.00825069006532431,0.0183417070657015
19,0.011003227904439,0.0455031134188175,0.0085798492655158,0.0173504780977964
20,0.0128376027569175,0.039599385112524,0.00868541840463877,0.0161537658423185
21,0.0104966098442674,0.0404793545603752,0.00762279378250241,0.0162097793072462
22,0.0100106066092849,0.0352245382964611,0.00827902089804411,0.0153488079085946
23,0.0123230973258615,0.0408729314804077,0.00869712233543396,0.0150309391319752
24,0.0113176256418228,0.0365562774240971,0.00750561337918043,0.0141651192680001
25,0.00919103994965553,0.0351524725556374,0.00697294948622584,0.0154068442061543
26,0.0107607925310731,0.0376659370958805,0.00759838381782174,0.0135501231998205
27,0.0102759245783091,0.0347680896520615,0.00863582547754049,0.0137235345318913
28,0.0102141331881285,0.0392336510121822,0.00893866922706366,0.0138277504593134
