"Age","Year","log_mx"
59,1951,-4.12836565744906
60,1951,-4.03687591183921
61,1951,-3.96483421163402
62,1951,-3.86127448148906
63,1951,-3.77547456636983
64,1951,-3.69175926545934
65,1951,-3.58767583177601
66,1951,-3.49964439808201
67,1951,-3.40124359900492
68,1951,-3.30360401971743
69,1951,-3.19885201184997
70,1951,-3.08436965717724
71,1951,-2.99020588342417
72,1951,-2.87536169511785
73,1951,-2.76411524716954
74,1951,-2.65585794208737
75,1951,-2.54697700383872
76,1951,-2.43756653361093
77,1951,-2.3364953716026
78,1951,-2.22798510025625
79,1951,-2.12624305016557
80,1951,-2.01469455184806
81,1951,-1.91847201346723
82,1951,-1.81739342492018
83,1951,-1.7254324168054
84,1951,-1.6286206322774
85,1951,-1.53719677927549
86,1951,-1.45379774963962
87,1951,-1.3745978803882
88,1951,-1.29793394862325
89,1951,-1.21323554423575
90,1951,-1.1381697539372
91,1951,-1.07258242704044
92,1951,-0.998716521710862
93,1951,-0.94577727050586
94,1951,-0.872587353191823
95,1951,-0.803759122497596
96,1951,-0.746291615282431
97,1951,-0.691919046239879
98,1951,-0.640613410306437
99,1951,-0.592293978119496
100,1951,-0.546896081291671
0,1952,-2.59146732602033
1,1952,-4.88222639852858
2,1952,-5.81923495388715
3,1952,-6.28187988647526
4,1952,-6.5345308225605
5,1952,-6.77292717911535
6,1952,-6.92284649470831
7,1952,-7.04581913784958
8,1952,-7.16321377116253
9,1952,-7.25552928967862
10,1952,-7.27887645447709
11,1952,-7.33232870484654
12,1952,-7.28859843933001
13,1952,-7.23769783299217
14,1952,-7.15922756137546
15,1952,-7.05216739390232
16,1952,-6.94087113926405
17,1952,-6.86819159283444
18,1952,-6.79918882111408
19,1952,-6.7398033249851
20,1952,-6.75344709801836
21,1952,-6.72643142662581
22,1952,-6.70552729058367
23,1952,-6.6502135200994
24,1952,-6.62978059390626
25,1952,-6.61935018924798
26,1952,-6.60196777116189
27,1952,-6.59231469148826
28,1952,-6.56050275892283
29,1952,-6.54006892913323
30,1952,-6.48726129837804
31,1952,-6.44644756053221
32,1952,-6.40287612031066
33,1952,-6.3464824229716
34,1952,-6.27887240759698
35,1952,-6.21932459244501
36,1952,-6.14014824784548
37,1952,-6.0721854311545
38,1952,-5.99944414075514
39,1952,-5.9169616325947
40,1952,-5.82118430807963
41,1952,-5.75322759967546
42,1952,-5.66164163462716
43,1952,-5.57888627199392
44,1952,-5.49875546648731
45,1952,-5.39093892289035
46,1952,-5.30780196427833
47,1952,-5.22101903039925
48,1952,-5.12049957951812
49,1952,-5.02988481193954
50,1952,-4.93256724688795
51,1952,-4.84591969346957
52,1952,-4.76532747064407
53,1952,-4.68422693243418
54,1952,-4.59275008951884
55,1952,-4.51651441458885
56,1952,-4.42440154012806
57,1952,-4.33537397039008
58,1952,-4.25092392486101
59,1952,-4.16087742918195
60,1952,-4.06898392395898
61,1952,-3.99521737194277
62,1952,-3.89237420376193
63,1952,-3.80637794841143
64,1952,-3.72177139259163
65,1952,-3.61832332286956
66,1952,-3.53002456614441
67,1952,-3.43166522396787
68,1952,-3.3343988680112
69,1952,-3.23018117038104
70,1952,-3.11665967907245
71,1952,-3.02231766860447
72,1952,-2.90816583527088
73,1952,-2.79765035959004
74,1952,-2.6896837418563
75,1952,-2.58120833717433
76,1952,-2.47185272526107
77,1952,-2.3707580561657
78,1952,-2.26219877868128
79,1952,-2.15999617910737
80,1952,-2.04875409302021
81,1952,-1.95213939923367
82,1952,-1.85081348718815
83,1952,-1.75775504196585
84,1952,-1.66050076143168
